,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,4000,1000,0.5,50,8,25,5,0.612765957,0.637362637,0.450549451,0.637362637,0.67032967,0.626373626,0.615384615,0.659340659,0.637362637,0.648351648,0.566666667,0.548387097,,,,
0,4000,1000,0.5,50,9,25,5,0.612765957,0.615384615,0.461538462,0.648351648,0.67032967,0.626373626,0.626373626,0.648351648,0.626373626,0.659340659,0.566666667,0.548387097,,,,
0,4000,1000,0.5,50,10,25,5,0.609574468,0.626373626,0.450549451,0.637362637,0.67032967,0.615384615,0.626373626,0.637362637,0.626373626,0.659340659,0.566666667,0.548387097,,,,
Training distance 5,training on instance 3,,,,Loss values,,,Loss,Loss 0,Loss 1,Loss 2,Loss 3,Loss 4,Loss 5,Loss 6,Loss 7,Loss 8,Loss 9,Loss 10,,,,
0,40000,1000,0.5,50,0,25,5,0.619238585,0.647045657,0.725787215,0.622809703,0.581675718,0.591023396,0.611364973,0.546892762,0.660154305,0.60573832,0.489323187,0.689848218,,,,
0,40000,1000,0.5,50,1,25,5,0.611991645,0.567681637,0.759163094,0.629734369,0.556189994,0.603638499,0.609476812,0.530876193,0.667365099,0.605104138,0.442897406,0.72731994,,,,
0,40000,1000,0.5,50,2,25,5,0.630570525,0.589645999,0.797613761,0.705552569,0.540808113,0.60491154,0.628335838,0.53204098,0.680117946,0.62102018,0.46921595,0.722501894,,,,
0,40000,1000,0.5,50,3,25,5,0.636433166,0.602024034,0.818342033,0.725644419,0.536039431,0.600887279,0.637083768,0.529131627,0.683467481,0.621045254,0.467238649,0.725948023,,,,
0,40000,1000,0.5,50,4,25,5,0.640208823,0.603451447,0.836451028,0.738063467,0.534931635,0.596031817,0.643116267,0.529321161,0.684364125,0.622002867,0.466600673,0.729293468,,,,
0,40000,1000,0.5,50,5,25,5,0.639782627,0.60371346,0.83499016,0.736663589,0.534837267,0.595788568,0.642551347,0.529394197,0.684141728,0.622027994,0.466468991,0.728539059,,,,
0,40000,1000,0.5,50,6,25,5,0.639834158,0.60379352,0.835295092,0.736705784,0.534831249,0.595746708,0.642621308,0.529412594,0.68416857,0.622039841,0.466418223,0.728508372,,,,
0,40000,1000,0.25,50,0,25,5,0.613429686,0.602174336,0.760058308,0.622803712,0.567771122,0.592153055,0.600072674,0.525489212,0.667287271,0.61843325,0.440763127,0.702336562,,,,
0,40000,1000,0.25,50,1,25,5,0.614194824,0.581190776,0.759115532,0.634660595,0.554804894,0.595601729,0.610358797,0.529763247,0.669856617,0.610760785,0.462724566,0.72538693,,,,
0,40000,1000,0.25,50,2,25,5,0.619300508,0.58849315,0.778983875,0.638733758,0.560674075,0.613512723,0.596452556,0.517092183,0.687145498,0.638828226,0.415904407,0.726907114,,,,
